epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.1413,2.98559,7.64786,1.80538,0.00042,0.07547,0.00027,8e-05,2.29997,5.30913,1.203,0.00026,0.00026,0.00026
2,148.974,2.73075,5.07546,1.38968,0.00031,0.0566,0.00021,6e-05,2.27253,5.22941,1.16097,0.00050436,0.00050436,0.00050436
3,209.262,2.39352,4.12881,1.26575,0.00063,0.11321,0.00052,0.00019,2.64868,4.97503,1.29408,0.00071176,0.00071176,0.00071176
4,272.765,2.3286,3.31436,1.23423,0.00219,0.39623,0.00267,0.00123,2.22049,4.4065,1.11173,0.0008822,0.0008822,0.0008822
5,331.074,2.1605,3.05171,1.14142,0.00281,0.50943,0.1492,0.07715,2.41946,4.1047,1.16132,0.00101568,0.00101568,0.00101568
6,404.32,2.12787,4.15231,1.17563,0.00313,0.56604,0.03634,0.0238,2.24132,4.05441,1.098,0.0011122,0.0011122,0.0011122
7,465.592,1.9949,3.69891,1.12146,0.58573,0.05391,0.2352,0.09532,2.17458,3.53242,1.08623,0.00117176,0.00117176,0.00117176
8,524.056,2.05992,3.91703,1.07908,0.6976,0.26128,0.39607,0.16128,2.2411,3.00985,1.09968,0.001076,0.001076,0.001076
9,576.855,2.06015,3.24255,1.18617,0.95173,0.37223,0.56965,0.19549,2.33295,2.82083,1.11172,0.000944,0.000944,0.000944
10,629.2,2.1194,3.11095,1.15713,0.75444,0.45283,0.52962,0.23132,2.22848,2.55554,1.07372,0.000812,0.000812,0.000812
11,682.022,1.93761,2.83341,1.082,0.68913,0.41509,0.51056,0.22097,2.16901,2.44685,1.05977,0.00068,0.00068,0.00068
12,733.279,1.89332,2.87397,1.08824,0.70922,0.49057,0.53558,0.23873,2.09091,2.24896,1.03634,0.000548,0.000548,0.000548
13,787.296,1.91564,2.82584,1.05275,0.69564,0.51761,0.5429,0.25006,2.02736,2.16908,1.01555,0.000416,0.000416,0.000416
14,843.661,1.87052,2.99537,1.02309,0.68177,0.50943,0.55436,0.25434,2.04136,2.15871,1.02172,0.000284,0.000284,0.000284
15,899.34,1.81145,2.71972,1.04751,0.63164,0.58491,0.55779,0.25242,2.04354,2.14031,1.02479,0.000152,0.000152,0.000152
